"","logFC_1_s","logFC_2_s","logFC_3_s","logFC_5_s","logFC_6_s","logFC_7_s","logFC_8_s","logFC_9_s","logFC_10_s","logFC_11_s","logFC_12_s","logFC_13_s","logFC_14_s","logFC_15_s","logFC_16_s","logFC_17_s","logFC_18_s"
"28SrRNA-Psi:CR45853",0,-0.720451849432708,-0.661040947385393,-0.60567784290551,1.43509786930533,-0.266393437034837,0.309748871912011,-0.950429507142821,0.530912445955423,-0.636181559979203,1.21013935574653,-0.0952050808767934,-0.338556413211483,-0.323396514936661,-0.129558363592013,-0.231358673684568,3.11489684198995
"AANATL2",0,-0.210578854070007,-0.338596705612285,-0.561582298011931,-0.438849931569944,-0.51896496847319,-0.908834949315512,-0.55902354482242,-0.679275315850059,-1.04467754936324,-0.556103895961868,-0.396407808943879,0.432871175106596,-0.168218674782371,-0.648189910184408,-0.184422677259424,0.0819660677173117
"Aatf",0,0.156728178765932,0.192964471460985,0.442685566154213,0.533390767767294,0.419312611034098,0.487324224168163,0.349781745578017,0.303692682320162,0.348984865608358,0.250742969556156,0.327776691584096,0.194154501893847,0.171164371380532,0.29820030817266,0.259857013092162,0.0758540243375756
"aay",0,1.35176128209764,1.2649155789955,1.07729869615486,0.591920784803151,0.725531163717037,0.413782917853169,0.624910482025734,0.341788526045749,0.118906174934314,0.0368958629655509,0.310542901136373,0.448402747008272,0.640565875361303,0.624072011263936,0.0609732320508627,0.677610247488532
"ACC",0,0.190123680601836,-0.352465705243686,-0.892768241206817,-1.08485050598154,-1.04491606368294,-0.864318240426305,-0.451869421040142,-0.00714088135758395,-0.668100311514261,-0.517363570669527,-0.198644539899536,0.37892841015025,0.193463428878852,0.203756353543376,0.0779724128128905,0.49895679009423
"AcCoAS",0,0.219786313160162,-0.202753223892627,-1.15746316920644,-1.38274284761186,-1.25123226452089,-1.29806865537704,-0.804688092355228,-0.482729133942195,-0.896248407731241,-0.711450308329214,-0.154692950373137,0.15186498058444,-0.110006913667823,-0.23387993883639,-0.0695428143865495,0.351742650898306
"Achl",0,-1.27030859344197,-1.45862786899483,-0.557136295101593,-0.816807862055875,-0.98344935827763,-1.22974362569436,-0.496636593279327,0.219304445462527,0.546919287684969,0.40700570936156,0.451564271311113,-0.760678128172841,-0.402892035301102,0.347887225894935,0.591780071140943,-0.483338496390543
"Acn",0,-0.0706638664544972,-0.0134962233397653,0.0210467758061252,-0.067349848004417,0.135380610494826,-0.0411530830168596,0.180683129516977,0.0899556082431507,0.134425561989524,0.0923022132862199,0.0500943587667644,0.0583483253907264,0.125844121081757,0.162148113828992,0.105995587769775,0.141537517117225
"Acon",0,-0.0482951553135909,-0.0594588910829152,-0.199721890950762,-0.201450117096522,-0.124126687238327,-0.202493948480198,0.0570058574736034,0.0975975377281042,-0.119892406238595,-0.00936281500625746,0.0353227054079195,0.160811060416183,0.0451811192381335,-0.0335190517920427,0.120585991031529,0.00888094601011957
"Acp1",0,-0.840462132385083,-1.61375384093499,-1.57527909367271,-0.652934724502326,-1.64384018225844,-2.28246009802556,-1.34704821452484,-1.11442613589141,-1.11261081676824,-1.04668964259544,-0.855789915715333,-0.527333044813406,-0.966354080081778,-1.33708258239639,-0.979749758576381,-1.25822341115476
"Act42A",0,0.096426243500904,0.307881083156005,0.193475872487467,0.0115930995883042,0.285329384382906,0.173777182223817,-0.0483994696163625,0.02501377364944,0.0909983852762393,-0.0328524466498283,0.149457338274342,0.00488346905388681,0.115687210328713,0.0666321430939876,-0.0451226974189876,-0.0906935422209267
"Act57B",0,-0.169575537681476,-0.19548871852084,-0.317005863213994,-0.281675291248552,-0.372988010055218,-0.429273293729914,-0.19379236174156,-0.334705206285284,-0.454355397789778,-0.523635696306368,-0.555496012378219,-0.495985775591631,-0.546839523852263,-0.798223426969905,-0.662545171404799,-0.851914362986202
"Act5C",0,0.117663698105465,0.319746558833284,0.0217693107921093,0.163718723119564,0.0993298499208404,-0.103186366848234,0.0627908637644374,0.125091994310292,0.0605914608112759,-0.0543182860469873,0.136002711618097,0.309863504714404,0.385934878227133,0.305209342399177,0.15831085009355,0.11123731236979
"Act79B",0,-0.485784124588861,-0.50323019950044,-0.508261848153372,-0.361785287393477,-0.53935386888206,-0.590132313950955,-0.469946078439014,-0.486927739230078,-0.744359741485535,-0.747574919607862,-0.975204463633075,-0.658929363235901,-1.0215356407341,-0.961887389976901,-1.04363457763126,-1.14326179707814
"Act87E",0,-0.121679798628174,-0.113680027479045,-0.169785553873734,-0.138836786822127,-0.11325832406683,-0.299853453722553,-0.240788895996209,-0.316161813134617,-0.355450151599616,-0.283286181435761,-0.307789995593662,-0.372496424639351,-0.341033535759294,-0.471812702510293,-0.471733700777984,-0.469427312425884
"Act88F",0,-0.779977148817937,-0.757285472020088,-0.593194350188204,-0.689030138555725,-0.624559434625174,-0.194458947737766,-0.0527451722447028,-0.448361762927164,-0.412362812680234,-0.233151959154712,-0.878843861852252,-0.0352582606417329,-0.198028126623891,-0.892904832656943,-0.769946430345384,-1.17496340297986
"Actn",0,-0.270314377068559,-0.114936530816755,-0.147174488768412,-0.381150458481299,-0.0894346702016753,-0.350367030644565,-0.0750725658858977,-0.125681842965515,-0.366377262313608,-0.314404704930277,-0.417598297443877,-0.168546636964316,-0.261039377472875,-0.425296327418208,-0.382375281908759,-0.359655119060472
"ade2",0,0.53301573537308,0.235700111844147,-0.355127053874632,-0.558855756835476,-0.145230460165713,0.163720414568066,0.55660774069348,0.503312152554246,-0.169571759244413,-0.0879033563247624,-0.000289698039229513,0.482217074625052,0.747383508349632,0.628138098563836,-0.0334458877523653,1.12900416717272
"ade3",0,0.520477176454492,0.676498012630309,-0.225587090215678,-0.659205494700124,-0.303373255962998,-0.0887529774823221,0.6228925876767,0.390065940061301,0.0255354658128208,-0.0179376906141417,0.211982821539457,0.483386361514808,0.879952478307493,0.801207229648966,0.260601293719142,1.57351291810422
"ade5",0,0.337053154798285,0.34510175655638,-0.120631135628799,-0.182733812183219,-0.046774969741981,-0.0632446981513333,0.43629268078749,0.359881645334379,0.267343921581908,0.390809057679997,0.452244050180768,0.610376106783912,0.944998887954236,0.924228176176076,0.679185117817124,1.2705170779936
"AdenoK",0,-0.0909959596351655,-0.270712614312993,-0.782645283078526,-0.418061177750743,-0.65990701416644,-0.197079649220261,0.358679682273956,0.412570349473621,0.456922076534696,0.627610566608829,0.534594696113738,0.5432083363799,0.592577478480323,0.380272694788769,0.637190946372704,0.400827364176217
